,표준ID,정류장명,ARS-ID,X좌표,Y좌표,epsg5179_x,epsg5179_y
6980,116000151,구일우성아파트,17242,126.8759518,37.48955787,1943550.699,944832.3676
6981,116000153,남구로역,17245,126.8869823,37.48491293,1943028.963,945804.1493
6982,116000155,구로남초등학교,17247,126.8911893,37.48386349,1942910.121,946175.3338
6983,116000156,연세중앙교회,17248,126.8359814,37.49330279,1943990.352,941301.7614
6984,116000157,동양빌라,17251,126.8315971,37.49518984,1944202.452,940915.678
6985,116000158,남구로역6번출구,17252,126.888445,37.48756808,1943322.695,945935.3789
6986,116000159,궁동입구,17253,126.83408,37.4934389,1944006.64,941133.7853
6987,116000160,현대아파트,17254,126.886618,37.504635,1945217.222,945786.2004
6988,116000161,롯데아파트,17255,126.884727,37.502823,1945017.282,945617.7483
6989,116000162,AK플라자,17256,126.882557,37.501827,1944908.038,945425.2212
6990,116000163,롯데아파트,17257,126.8849274,37.50280415,1945015.075,945635.4476
6991,116000164,제중병원,17258,126.8866148,37.50361498,1945104.059,945785.18
6992,116000177,서서울생활과학고.궁동도서관,17195,126.829059,37.50223191,1944985.328,940696.8863
6993,116000194,온수동종점,17289,126.821273,37.491642,1943815.37,940000.2168
6994,116000195,온수동종점,17290,126.8213789,37.49192185,1943846.35,940009.8023
6995,116000196,신도림생활체육관.우성3차아파트,17291,126.8832045,37.51318585,1946167.864,945490.7135
6996,116000197,우성3차아파트,17292,126.8858251,37.5126847,1946110.749,945721.9484
6997,116000198,구로구청,17293,126.8884812,37.49592855,1944250.22,945944.6049
6998,116000200,대림역,17296,126.8943735,37.49350098,1943977.527,946463.7288
6999,116000201,구로중학교,17297,126.8908083,37.49309315,1943934.315,946148.2757
7000,116000202,우신고등학교후문,17298,126.824903,37.49604407,1944301.448,940324.6171
7001,116000203,동양빌라,17299,126.8318731,37.49515148,1944198.023,940940.0454
7002,116000204,궁동입구,17300,126.8342168,37.49345532,1944008.376,941145.8913
7003,116000205,윤성빌라,17301,126.8302938,37.49737765,1944445.997,940802.1968
7004,116000206,궁동사회복지관,17302,126.8298028,37.49895297,1944621.079,940760.0395
7005,116000207,원각사입구,17303,126.8295095,37.50061778,1944805.966,940735.4297
7006,116000233,구로보건소.금호새솔아파트,17629,126.890678,37.5002604,1944729.554,946141.9049
7007,116000235,구로공구상가,17631,126.8774141,37.50471684,1945231.644,944972.765
7008,116000246,개봉사거리,17642,126.8565667,37.49660148,1944343.685,943123.9928
7009,116000278,서울가든빌라앞,17680,126.8315974,37.49153857,1943797.364,940912.828
7010,116000287,거성푸르뫼아파트,17306,126.843679,37.50060584,1944795.812,941987.8753
7011,116000288,거성푸르뫼아파트,17305,126.8433198,37.50032244,1944764.592,941955.9059
7012,116000296,푸른수목원후문.저수지앞,17365,126.8223177,37.48420802,1942989.946,940086.6327
7013,116000297,푸른수목원후문.저수지앞,17369,126.8222619,37.48389255,1942954.981,940081.4475
7014,116000304,매화빌라,17368,126.8233535,37.47653577,1942138.095,940172.0911
7015,116000305,매화빌라,17366,126.8231245,37.47631285,1942113.508,940151.6653
7016,116000358,우성아파트,17831,126.8855385,37.51145712,1945974.721,945695.7303
7017,116000361,신도림역,17834,126.8896176,37.51066713,1945884.73,946055.6639
7018,116000372,구로디지털단지역환승센터,17015,126.9020583,37.48464525,1942990.694,947136.817
7019,116000381,신도림동아3차아파트,17855,126.8838008,37.51017406,1945833.377,945541.2238
7020,116000388,우신중고등학교후문,17862,126.8253682,37.49555025,1944246.366,940365.3464
7021,116000389,구로보건소,17863,126.8889644,37.50035972,1944741.555,945990.5095
7022,116000390,구로역애경백화점,17865,126.8831339,37.4996999,1944671.714,945474.6661
7023,116000391,구로역애경백화점,17866,126.8829913,37.50048011,1944758.356,945462.629
7024,116000392,구로구청,17867,126.8903215,37.4957879,1944233.56,946107.1793
7025,116000393,구로구청,17868,126.8885413,37.49587003,1944243.693,945949.8753
7026,116000394,오류동입구,17869,126.847107,37.50008409,1944735.819,942290.4776
7027,116000395,오류동입구,17870,126.8473127,37.50017627,1944745.92,942308.7306
7028,116000402,개봉역입구,17877,126.8558015,37.49106147,1943729.514,943052.1461
7029,116000403,개봉역입구,17878,126.856151,37.49103306,1943726.151,943083.021
7030,116000404,개봉교,17879,126.856136,37.48764669,1943350.462,943079.1254
7031,116000405,개봉교,17880,126.8565859,37.48658033,1943231.883,943118.0907
7032,116000406,대림역,17881,126.8944156,37.49335324,1943961.112,946467.3449
7033,116000417,구로공구상가,17897,126.8795721,37.5033557,1945079.374,945162.5062
7034,116000439,베스트웨스턴구로호텔코오롱싸이언스밸리,17727,126.8994867,37.48317339,1942828.847,946908.4217
